1.03325e-14	 -168.748	 -39.91	190
1.22836e-14	 -200.612	 -78.86	190
1.59306e-14	 -260.176	 -75.82	190
24.0604	 -151.911	 -42.19	190
26.5274	 -167.487	 -82.66	190
156.571	 -215.502	 -47.795	190
156.348	 -215.194	 -47.795	190
156.044	 -214.776	 -47.795	190
155.231	 -213.657	 -47.795	190
154.782	 -213.039	 -47.795	190
153.768	 -211.643	 -47.795	190
156.571	 -215.502	 -13.31	190
156.348	 -215.194	 -13.31	190
156.044	 -214.776	 -13.31	190
155.231	 -213.657	 -13.31	190
154.782	 -213.039	 -13.31	190
153.768	 -211.643	 -13.31	190
78.1607	 -153.399	 -87.79	190
42.9028	 -270.878	 -116.19	190
139.014	 -191.336	 -92.35	190
131.941	 -181.601	 -92.35	190
50.6402	 -155.854	 -85.32	190
50.6402	 -155.854	 -69.36	190
149.18	 -205.329	 -50.4867	190
118.43	 -163.005	 -47.51	190
85.2994	 -167.41	 -131.2	190
73.3626	 -143.982	 -45.23	190
56.6741	 -174.425	 -128.16	190
46.9999	 -144.651	 -43.71	190
31.589	 -199.445	 -123.22	190
1.22836e-14	 -200.612	 -79.05	192.5
149.18	 -205.329	 -96.91	192.5
31.617	 -199.622	 -166.35	195
85.87	 -168.529	 -171.67	195
56.8854	 -175.075	 -169.2	195
42.4817	 -268.219	 -197.32	195
41.7038	 -263.308	 -197.32	195
42.4817	 -268.219	 -158.94	195
41.7038	 -263.308	 -158.94	195
