103.651	 -103.651	 38.77	320
146.598	 -74.6953	 44.28	320
120.698	 -87.6921	 41.24	320
121.259	 -237.985	 22.81	320
90.6835	 -124.815	 35.73	320
82.7159	 -162.339	 30.6	320
151.674	 -77.282	 93.87	325
105.398	 -105.398	 88.17	325
123.509	 -89.7342	 90.45	325
120.925	 -237.329	 76.77	325
254.094	 -129.467	 113.72	325
91.4953	 -125.933	 85.89	325
127.028	 -127.028	 169.96	325
127.028	 -127.028	 169.29	325
127.028	 -127.028	 166.626	325
127.028	 -127.028	 164.925	325
127.028	 -127.028	 164.07	325
104.588	 -143.952	 163.31	325
91.0864	 -178.767	 155.71	325
117.099	 -229.819	 148.49	325
117.099	 -229.819	 147.54	325
117.099	 -229.819	 146.68	325
